Frequency (Hz)	Level (dB)
0.672913	-120.759438
1.345825	-113.477997
2.018738	-104.810890
2.691650	-96.406944
3.364563	-90.441757
4.037476	-85.709419
4.710388	-80.541115
5.383301	-76.693932
6.056213	-73.809891
6.729126	-70.359818
7.402039	-67.058136
8.074951	-64.850624
8.747864	-63.590973
9.420776	-62.019222
10.093689	-60.634583
10.766602	-57.559662
11.439514	-57.066792
12.112427	-57.530621
12.785339	-55.953526
13.458252	-54.134537
14.131165	-53.838417
14.804077	-52.014771
15.476990	-49.290905
16.149902	-48.186306
16.822815	-46.461037
17.495728	-43.269199
18.168640	-42.186810
18.841553	-41.709209
19.514465	-41.498837
20.187378	-41.705833
20.860291	-42.750332
21.533203	-44.706963
22.206116	-45.811413
22.879028	-47.778839
23.551941	-50.439903
24.224854	-51.269447
24.897766	-51.346371
25.570679	-51.854538
26.243591	-50.648670
26.916504	-49.279877
27.589417	-47.774273
28.262329	-46.948280
28.935242	-46.416061
29.608154	-45.227947
30.281067	-44.410088
30.953979	-44.411896
31.626892	-45.382595
32.299805	-45.562473
32.972717	-47.036438
33.645630	-46.657005
34.318542	-45.588440
34.991455	-46.074482
35.664368	-46.875904
36.337280	-47.172974
37.010193	-46.141155
37.683105	-44.327412
38.356018	-43.338264
39.028931	-42.951225
39.701843	-42.009892
40.374756	-41.839005
41.047668	-41.632893
41.720581	-40.234982
42.393494	-40.586143
43.066406	-41.225113
43.739319	-41.705620
44.412231	-41.448128
45.085144	-42.139172
45.758057	-42.881687
46.430969	-43.384174
47.103882	-44.720623
47.776794	-44.682503
48.449707	-44.042984
49.122620	-44.550507
49.795532	-44.326817
50.468445	-45.387589
51.141357	-46.980919
51.814270	-47.991093
52.487183	-48.468842
53.160095	-47.827286
53.833008	-47.418327
54.505920	-48.027191
55.178833	-49.163101
55.851746	-48.221127
56.524658	-48.493362
57.197571	-47.108009
57.870483	-46.528847
58.543396	-46.364986
59.216309	-48.149498
59.889221	-48.512466
60.562134	-47.134869
61.235046	-47.576458
61.907959	-47.041630
62.580872	-46.828693
63.253784	-47.055691
63.926697	-47.043800
64.599609	-45.678894
65.272522	-45.859753
65.945435	-45.651440
66.618347	-45.337685
67.291260	-45.748665
67.964172	-45.492405
68.637085	-45.424778
69.309998	-46.395721
69.982910	-46.309639
70.655823	-46.758854
71.328735	-46.667713
72.001648	-46.345329
72.674561	-47.863380
73.347473	-48.441357
74.020386	-47.994274
74.693298	-47.250141
75.366211	-47.176750
76.039124	-45.528877
76.712036	-47.725845
77.384949	-47.829826
78.057861	-47.576317
78.730774	-46.713600
79.403687	-46.852959
80.076599	-47.660889
80.749512	-46.940578
81.422424	-46.468437
82.095337	-45.568054
82.768250	-46.719906
83.441162	-47.922161
84.114075	-46.684021
84.786987	-47.080204
85.459900	-47.358101
86.132812	-45.354218
86.805725	-44.813538
87.478638	-45.172501
88.151550	-45.713543
88.824463	-45.569332
89.497375	-46.164928
90.170288	-47.019989
90.843201	-45.761776
91.516113	-45.595524
92.189026	-46.473942
92.861938	-46.795811
93.534851	-47.384785
94.207764	-47.211395
94.880676	-46.779797
95.553589	-47.059406
96.226501	-46.139061
96.899414	-47.217945
97.572327	-47.006401
98.245239	-46.928112
98.918152	-46.006062
99.591064	-46.758209
100.263977	-46.371231
100.936890	-45.681362
101.609802	-45.287056
102.282715	-44.704342
102.955627	-45.471493
103.628540	-45.220627
104.301453	-45.462532
104.974365	-45.740154
105.647278	-45.773678
106.320190	-45.361511
106.993103	-46.200333
107.666016	-47.117081
108.338928	-47.297153
109.011841	-46.374607
109.684753	-45.885647
110.357666	-46.613998
111.030579	-46.582462
111.703491	-45.871540
112.376404	-45.047745
113.049316	-46.304317
113.722229	-46.484894
114.395142	-45.355663
115.068054	-45.849300
115.740967	-44.671082
116.413879	-43.840027
117.086792	-45.931820
117.759705	-45.846321
118.432617	-45.714935
119.105530	-45.179192
119.778442	-44.553200
120.451355	-43.987877
121.124268	-44.443596
121.797180	-45.467396
122.470093	-46.664673
123.143005	-46.463634
123.815918	-44.913647
124.488831	-44.953815
125.161743	-45.055317
125.834656	-44.268108
126.507568	-43.810753
127.180481	-43.564827
127.853394	-43.458279
128.526306	-44.918209
129.199219	-44.580608
129.872131	-44.658764
130.545044	-44.427635
131.217957	-44.606083
131.890869	-44.538143
132.563782	-44.343452
133.236694	-43.453949
133.909607	-44.020260
134.582520	-45.450748
135.255432	-44.541779
135.928345	-43.448200
136.601257	-44.055618
137.274170	-45.515823
137.947083	-45.610115
138.619995	-44.005310
139.292908	-43.165577
139.965820	-44.285488
140.638733	-44.826134
141.311646	-43.676323
141.984558	-43.994869
142.657471	-44.247211
143.330383	-44.118477
144.003296	-44.630108
144.676208	-43.454575
145.349121	-44.178856
146.022034	-44.824451
146.694946	-45.465336
147.367859	-43.974712
148.040771	-42.381813
148.713684	-43.854958
149.386597	-44.031651
150.059509	-43.962296
150.732422	-43.950447
151.405334	-43.562908
152.078247	-44.069183
152.751160	-43.778793
153.424072	-44.309158
154.096985	-45.106945
154.769897	-43.784637
155.442810	-44.753960
156.115723	-43.904037
156.788635	-43.833763
157.461548	-42.882053
158.134460	-42.042793
158.807373	-42.990639
159.480286	-43.911873
160.153198	-44.594025
160.826111	-44.788387
161.499023	-45.339611
162.171936	-43.728024
162.844849	-42.677353
163.517761	-42.652081
164.190674	-42.496735
164.863586	-42.984329
165.536499	-44.308475
166.209412	-43.914440
166.882324	-42.927841
167.555237	-43.759933
168.228149	-44.043793
168.901062	-44.066704
169.573975	-42.957722
170.246887	-42.064232
170.919800	-41.737762
171.592712	-42.966015
172.265625	-43.220825
172.938538	-42.477047
173.611450	-42.334446
174.284363	-42.191299
174.957275	-42.354862
175.630188	-41.832024
176.303101	-42.209312
176.976013	-43.222553
177.648926	-43.290955
178.321838	-42.826908
178.994751	-41.765369
179.667664	-42.249176
180.340576	-42.569317
181.013489	-42.304329
181.686401	-43.006634
182.359314	-43.722160
183.032227	-43.101448
183.705139	-42.809353
184.378052	-41.933739
185.050964	-42.161175
185.723877	-43.788330
186.396790	-43.249283
187.069702	-42.030647
187.742615	-41.905876
188.415527	-42.828434
189.088440	-42.685665
189.761353	-42.409821
190.434265	-42.162342
191.107178	-42.356319
191.780090	-42.376316
192.453003	-42.795940
193.125916	-43.397060
193.798828	-42.200516
194.471741	-41.539371
195.144653	-42.729954
195.817566	-42.875977
196.490479	-41.544289
197.163391	-41.335354
197.836304	-41.825577
198.509216	-42.125809
199.182129	-42.158726
199.855042	-42.070179
200.527954	-41.414986
201.200867	-41.102280
201.873779	-41.480251
202.546692	-41.691505
203.219604	-42.500809
203.892517	-42.698704
204.565430	-42.030441
205.238342	-41.956814
205.911255	-42.520325
206.584167	-43.317955
207.257080	-42.569874
207.929993	-41.616863
208.602905	-41.025372
209.275818	-41.744442
209.948730	-41.842964
210.621643	-42.771568
211.294556	-43.240379
211.967468	-43.134514
212.640381	-41.600410
213.313293	-41.638210
213.986206	-41.819622
214.659119	-41.568939
215.332031	-41.636463
216.004944	-42.646053
216.677856	-43.563187
217.350769	-42.872025
218.023682	-42.452713
218.696594	-41.435616
219.369507	-41.133144
220.042419	-41.980350
220.715332	-42.326881
221.388245	-42.386593
222.061157	-42.712677
222.734070	-42.409801
223.406982	-42.334236
224.079895	-42.239513
224.752808	-43.571442
225.425720	-42.795826
226.098633	-42.233349
226.771545	-41.794483
227.444458	-42.185280
228.117371	-41.334610
228.790283	-40.680248
229.463196	-41.483231
230.136108	-42.975372
230.809021	-42.811115
231.481934	-42.401436
232.154846	-42.278912
232.827759	-41.151688
233.500671	-41.374237
234.173584	-41.683243
234.846497	-40.829258
235.519409	-41.145832
236.192322	-41.308907
236.865234	-40.836250
237.538147	-41.606987
238.211060	-41.718822
238.883972	-41.327118
239.556885	-42.545189
240.229797	-41.531887
240.902710	-41.402237
241.575623	-42.183323
242.248535	-41.740761
242.921448	-41.752106
243.594360	-41.474949
244.267273	-41.194901
244.940186	-42.963387
245.613098	-42.809750
246.286011	-41.735138
246.958923	-41.287670
247.631836	-40.927055
248.304749	-40.580776
248.977661	-40.305019
249.650574	-40.283062
250.323486	-39.907864
250.996399	-40.978359
251.669312	-41.495430
252.342224	-40.790039
253.015137	-40.201477
253.688049	-41.745926
254.360962	-42.965889
255.033875	-42.764328
255.706787	-41.987923
256.379700	-42.662914
257.052612	-41.497234
257.725525	-40.080765
258.398438	-40.347034
259.071350	-42.160282
259.744263	-41.143116
260.417175	-41.182629
261.090088	-41.277027
261.763000	-40.516964
262.435913	-41.051086
263.108826	-40.810089
263.781738	-41.529461
264.454651	-42.022892
265.127563	-40.580540
265.800476	-40.571953
266.473389	-41.321712
267.146301	-41.244560
267.819214	-41.045795
268.492126	-41.820816
269.165039	-41.580242
269.837952	-41.325073
270.510864	-40.084572
271.183777	-40.463085
271.856689	-41.764702
272.529602	-41.776272
273.202515	-41.303432
273.875427	-41.287079
274.548340	-42.511166
275.221252	-42.469868
275.894165	-41.802071
276.567078	-41.454384
277.239990	-41.354168
277.912903	-40.810280
278.585815	-41.931213
279.258728	-42.331154
279.931641	-42.130165
280.604553	-42.123688
281.277466	-40.800861
281.950378	-41.678638
282.623291	-41.732903
283.296204	-41.720631
283.969116	-42.030872
284.642029	-41.659554
285.314941	-42.001072
285.987854	-42.727463
286.660767	-41.680836
287.333679	-42.168938
288.006592	-43.503502
288.679504	-42.165928
289.352417	-41.595547
290.025330	-42.404221
290.698242	-41.872948
291.371155	-41.684994
292.044067	-42.260174
292.716980	-41.267063
293.389893	-40.752625
294.062805	-41.837555
294.735718	-41.413006
295.408630	-42.079048
296.081543	-42.946678
296.754456	-42.427837
297.427368	-41.263523
298.100281	-41.101891
298.773193	-42.040585
299.446106	-42.261143
300.119019	-42.632294
300.791931	-42.822430
301.464844	-40.804604
302.137756	-41.002228
302.810669	-41.958374
303.483582	-42.795612
304.156494	-41.057430
304.829407	-40.128624
305.502319	-40.894596
306.175232	-41.098202
306.848145	-41.997971
307.521057	-43.365955
308.193970	-43.733341
308.866882	-43.119572
309.539795	-41.914509
310.212708	-41.433002
310.885620	-42.040184
311.558533	-42.202656
312.231445	-41.833920
312.904358	-40.952686
313.577271	-41.591640
314.250183	-43.502041
314.923096	-43.098083
315.596008	-41.984081
316.268921	-41.988941
316.941833	-42.379810
317.614746	-41.739719
318.287659	-41.478485
318.960571	-42.855106
319.633484	-42.091602
320.306396	-42.336727
320.979309	-43.660145
321.652222	-43.266277
322.325134	-41.433060
322.998047	-42.799988
323.670959	-43.314850
324.343872	-42.924965
325.016785	-42.166283
325.689697	-42.509808
326.362610	-42.952477
327.035522	-42.722023
327.708435	-41.658684
328.381348	-42.022820
329.054260	-43.226570
329.727173	-42.108505
330.400085	-42.908401
331.072998	-42.953701
331.745911	-43.006721
332.418823	-42.526249
333.091736	-42.873661
333.764648	-41.724106
334.437561	-41.237316
335.110474	-42.057362
335.783386	-41.802715
336.456299	-42.590313
337.129211	-42.491573
337.802124	-42.931690
338.475037	-43.725887
339.147949	-42.183823
339.820862	-41.536388
340.493774	-42.228481
341.166687	-42.474842
341.839600	-41.829762
342.512512	-41.876560
343.185425	-43.543224
343.858337	-42.896042
344.531250	-42.601906
345.204163	-41.698406
345.877075	-42.189941
346.549988	-41.955269
347.222900	-43.131905
347.895813	-42.933594
348.568726	-42.159504
349.241638	-42.879009
349.914551	-42.140068
350.587463	-41.639229
351.260376	-42.397236
351.933289	-41.710869
352.606201	-42.674004
353.279114	-43.297054
353.952026	-42.561825
354.624939	-43.014046
355.297852	-43.997986
355.970764	-42.926517
356.643677	-43.138317
357.316589	-44.089790
357.989502	-42.148460
358.662415	-41.886497
359.335327	-42.414989
360.008240	-42.079464
360.681152	-42.445789
361.354065	-42.502533
362.026978	-41.764843
362.699890	-42.854664
363.372803	-42.276169
364.045715	-42.286922
364.718628	-42.171947
365.391541	-42.710526
366.064453	-42.734776
366.737366	-42.948765
367.410278	-43.286682
368.083191	-42.671906
368.756104	-42.743515
369.429016	-43.772400
370.101929	-42.776825
370.774841	-42.783249
371.447754	-42.480572
372.120667	-42.290577
372.793579	-42.384209
373.466492	-43.301453
374.139404	-43.526279
374.812317	-43.243637
375.485229	-43.414783
376.158142	-43.165665
376.831055	-42.063091
377.503967	-42.659698
378.176880	-43.087666
378.849792	-42.906780
379.522705	-43.491386
380.195618	-42.646469
380.868530	-42.817215
381.541443	-43.883564
382.214355	-43.266701
382.887268	-43.853806
383.560181	-44.130356
384.233093	-43.877300
384.906006	-42.722538
385.578918	-43.338417
386.251831	-43.551216
386.924744	-43.964729
387.597656	-44.406902
388.270569	-44.139366
388.943481	-43.494152
389.616394	-42.855659
390.289307	-43.908501
390.962219	-44.345470
391.635132	-43.935238
392.308044	-43.004982
392.980957	-41.835922
393.653870	-43.123775
394.326782	-43.894573
394.999695	-43.406158
395.672607	-43.944973
396.345520	-44.200600
397.018433	-44.548985
397.691345	-43.589272
398.364258	-43.372768
399.037170	-43.145103
399.710083	-42.784885
400.382996	-44.005318
401.055908	-43.906590
401.728821	-42.829754
402.401733	-44.593582
403.074646	-44.986088
403.747559	-43.660046
404.420471	-42.220394
405.093384	-43.532188
405.766296	-43.526981
406.439209	-44.545345
407.112122	-43.898312
407.785034	-43.561699
408.457947	-43.269329
409.130859	-42.898472
409.803772	-42.733009
410.476685	-42.755459
411.149597	-43.507381
411.822510	-43.252796
412.495422	-43.484718
413.168335	-43.607128
413.841248	-42.840324
414.514160	-43.291237
415.187073	-44.926456
415.859985	-44.624111
416.532898	-43.406761
417.205811	-42.737442
417.878723	-43.379684
418.551636	-43.078419
419.224548	-43.031757
419.897461	-43.249882
420.570374	-43.965382
421.243286	-44.706944
421.916199	-44.973656
422.589111	-44.293827
423.262024	-44.210438
423.934937	-43.111126
424.607849	-43.070225
425.280762	-42.708187
425.953674	-43.960449
426.626587	-45.142174
427.299500	-44.369659
427.972412	-43.895134
428.645325	-43.982571
429.318237	-44.021191
429.991150	-43.992382
430.664062	-44.894012
431.336975	-43.926929
432.009888	-44.184040
432.682800	-45.226559
433.355713	-43.840279
434.028625	-43.683956
434.701538	-43.924816
435.374451	-44.802242
436.047363	-45.124622
436.720276	-43.397766
437.393188	-43.331196
438.066101	-44.954788
438.739014	-43.387119
439.411926	-43.435989
440.084839	-44.423428
440.757751	-43.878166
441.430664	-43.294884
442.103577	-44.017166
442.776489	-43.419846
443.449402	-44.477909
444.122314	-45.463669
