Frequency (Hz)	Level (dB)
0.672913	-122.028809
1.345825	-116.879005
2.018738	-111.921860
2.691650	-107.011459
3.364563	-100.785637
4.037476	-96.603737
4.710388	-94.286102
5.383301	-91.290169
6.056213	-88.655869
6.729126	-86.702278
7.402039	-85.486183
8.074951	-83.762650
8.747864	-81.948112
9.420776	-81.065407
10.093689	-80.501625
10.766602	-78.850380
11.439514	-76.743927
12.112427	-76.231636
12.785339	-76.233269
13.458252	-75.303459
14.131165	-74.150169
14.804077	-73.511063
15.476990	-71.196747
16.149902	-70.080063
16.822815	-69.981125
17.495728	-70.295990
18.168640	-69.167763
18.841553	-68.255676
19.514465	-68.342896
20.187378	-67.460312
20.860291	-66.416908
21.533203	-65.977371
22.206116	-66.024994
22.879028	-65.362953
23.551941	-64.518494
24.224854	-63.509323
24.897766	-63.111546
25.570679	-62.795315
26.243591	-62.761017
26.916504	-63.072933
27.589417	-62.915257
28.262329	-63.040085
28.935242	-63.041283
29.608154	-63.095913
30.281067	-63.040337
30.953979	-61.926777
31.626892	-61.915955
32.299805	-61.931549
32.972717	-61.362003
33.645630	-61.547859
34.318542	-61.648228
34.991455	-61.746078
35.664368	-61.811714
36.337280	-60.931519
37.010193	-60.373146
37.683105	-60.846806
38.356018	-60.488613
39.028931	-60.654087
39.701843	-60.693020
40.374756	-59.944027
41.047668	-59.448322
41.720581	-60.161572
42.393494	-61.115665
43.066406	-59.018402
43.739319	-58.993896
44.412231	-59.022671
45.085144	-59.710533
45.758057	-59.764362
46.430969	-58.249310
47.103882	-58.165073
47.776794	-57.415699
48.449707	-57.764030
49.122620	-57.903316
49.795532	-57.785583
50.468445	-57.267509
51.141357	-58.382019
51.814270	-57.775864
52.487183	-56.461018
53.160095	-56.249123
53.833008	-57.437424
54.505920	-58.699219
55.178833	-57.575222
55.851746	-57.307255
56.524658	-56.531101
57.197571	-56.603619
57.870483	-55.021320
58.543396	-55.326393
59.216309	-56.014187
59.889221	-56.275963
60.562134	-56.428181
61.235046	-55.932079
61.907959	-53.964314
62.580872	-53.645844
63.253784	-54.138844
63.926697	-54.788273
64.599609	-55.278419
65.272522	-55.112316
65.945435	-54.599361
66.618347	-54.373898
67.291260	-54.328033
67.964172	-54.157631
68.637085	-54.630367
69.309998	-54.461353
69.982910	-54.913914
70.655823	-53.973190
71.328735	-54.053123
72.001648	-54.026573
72.674561	-53.174793
73.347473	-53.136791
74.020386	-53.662155
74.693298	-54.159153
75.366211	-54.486809
76.039124	-54.067337
76.712036	-53.695564
77.384949	-52.495853
78.057861	-52.502789
78.730774	-53.052155
79.403687	-52.665977
80.076599	-53.043316
80.749512	-53.747448
81.422424	-52.578110
82.095337	-53.079216
82.768250	-52.212425
83.441162	-51.031078
84.114075	-51.634777
84.786987	-52.385387
85.459900	-53.419659
86.132812	-52.532852
86.805725	-51.516182
87.478638	-51.754143
88.151550	-51.709843
88.824463	-52.116863
