Frequency (Hz)	Level (dB)
0.672913	-117.086555
1.345825	-111.713524
2.018738	-102.225670
2.691650	-93.530235
3.364563	-85.384911
4.037476	-78.155914
4.710388	-72.621002
5.383301	-67.434258
6.056213	-63.950344
6.729126	-61.124599
7.402039	-58.505821
8.074951	-56.676575
8.747864	-55.696560
9.420776	-54.923538
10.093689	-53.464558
10.766602	-52.409019
11.439514	-50.757195
12.112427	-50.637363
12.785339	-50.365353
13.458252	-49.836475
14.131165	-50.046425
14.804077	-48.676888
15.476990	-48.413475
16.149902	-47.662487
16.822815	-46.812138
17.495728	-45.928417
18.168640	-45.990086
18.841553	-46.621475
19.514465	-46.138348
20.187378	-45.071621
20.860291	-45.397057
21.533203	-44.602722
22.206116	-44.958828
22.879028	-43.946587
23.551941	-42.261196
24.224854	-42.165234
24.897766	-42.846844
25.570679	-42.016720
26.243591	-41.318409
26.916504	-40.854576
27.589417	-40.926388
28.262329	-40.648212
28.935242	-41.149040
29.608154	-41.972862
30.281067	-41.633369
30.953979	-42.003960
31.626892	-40.080898
32.299805	-40.302673
32.972717	-40.795254
33.645630	-40.408413
34.318542	-38.996265
34.991455	-40.917343
35.664368	-40.575100
36.337280	-40.474541
37.010193	-40.825184
37.683105	-40.131737
38.356018	-41.049217
39.028931	-40.797237
39.701843	-39.460812
40.374756	-39.500057
41.047668	-39.435532
41.720581	-39.452888
42.393494	-40.160057
43.066406	-40.341862
43.739319	-40.586643
44.412231	-40.724998
45.085144	-40.794510
45.758057	-40.934135
46.430969	-40.356411
47.103882	-41.803082
47.776794	-41.883236
48.449707	-41.398911
49.122620	-41.922054
49.795532	-42.948868
50.468445	-43.396591
51.141357	-43.467854
51.814270	-42.747311
52.487183	-42.878265
53.160095	-43.403503
53.833008	-43.923832
54.505920	-45.039165
55.178833	-45.919174
55.851746	-45.517654
56.524658	-44.339081
57.197571	-44.310795
57.870483	-44.815891
58.543396	-45.740223
59.216309	-47.007542
59.889221	-45.457314
60.562134	-44.784859
61.235046	-44.497734
61.907959	-45.279030
62.580872	-46.042385
63.253784	-45.870655
63.926697	-45.666489
64.599609	-46.057911
65.272522	-45.588299
65.945435	-46.003262
66.618347	-46.730965
67.291260	-47.519585
67.964172	-46.897358
68.637085	-47.341457
69.309998	-47.766285
69.982910	-47.639809
70.655823	-47.389137
71.328735	-47.721527
72.001648	-48.607780
72.674561	-49.213207
73.347473	-48.876102
74.020386	-49.176472
74.693298	-49.526539
75.366211	-50.065559
76.039124	-50.119576
76.712036	-49.067337
77.384949	-49.195408
78.057861	-49.792187
78.730774	-50.213871
79.403687	-52.216366
80.076599	-50.492752
80.749512	-49.817188
81.422424	-48.635494
82.095337	-49.972530
82.768250	-51.145447
83.441162	-51.370148
84.114075	-50.913311
84.786987	-51.562328
85.459900	-51.084999
86.132812	-52.232594
86.805725	-52.780827
87.478638	-52.439415
88.151550	-52.231056
88.824463	-51.965042
89.497375	-51.046860
90.170288	-51.120102
90.843201	-51.915318
