Frequency (Hz)	Level (dB)
0.672913	-121.155762
1.345825	-116.839233
2.018738	-113.796555
2.691650	-110.865974
3.364563	-105.644104
4.037476	-103.437523
4.710388	-104.445328
5.383301	-100.903244
6.056213	-97.191986
6.729126	-95.864502
7.402039	-95.671677
8.074951	-94.777863
8.747864	-94.451897
9.420776	-93.155037
10.093689	-91.285828
10.766602	-90.364998
11.439514	-89.343155
12.112427	-88.442390
12.785339	-88.032127
13.458252	-86.450035
14.131165	-86.836014
14.804077	-85.760582
15.476990	-85.001808
16.149902	-84.034828
16.822815	-83.663223
17.495728	-83.164848
18.168640	-82.186325
18.841553	-80.921387
19.514465	-80.369873
20.187378	-80.683838
20.860291	-79.226700
21.533203	-79.222389
22.206116	-78.104958
22.879028	-77.529343
23.551941	-78.182732
24.224854	-76.965820
24.897766	-76.557182
25.570679	-76.002380
26.243591	-75.002960
26.916504	-75.664749
27.589417	-75.140602
28.262329	-75.432564
28.935242	-75.831406
29.608154	-74.892105
30.281067	-74.016136
30.953979	-73.001785
31.626892	-73.379311
32.299805	-72.737160
32.972717	-72.013458
33.645630	-71.901962
34.318542	-71.611389
34.991455	-71.206467
35.664368	-70.952156
36.337280	-70.474182
37.010193	-70.958885
37.683105	-70.856598
38.356018	-70.471291
39.028931	-69.150291
39.701843	-68.618591
40.374756	-69.664009
41.047668	-69.108391
41.720581	-69.283943
42.393494	-69.206573
43.066406	-69.438126
43.739319	-69.776695
44.412231	-66.933678
45.085144	-66.199150
45.758057	-66.542534
46.430969	-66.964546
47.103882	-67.187286
47.776794	-65.896584
48.449707	-65.581207
49.122620	-65.988991
49.795532	-66.480377
50.468445	-66.056068
51.141357	-66.313042
51.814270	-65.780426
52.487183	-64.524498
53.160095	-63.981968
53.833008	-64.801361
54.505920	-65.298943
55.178833	-65.218452
55.851746	-64.920746
56.524658	-64.087502
57.197571	-64.504181
57.870483	-64.070274
58.543396	-63.782841
59.216309	-62.467129
59.889221	-62.253716
60.562134	-63.124504
61.235046	-64.416992
61.907959	-64.243004
62.580872	-64.721832
63.253784	-63.949493
63.926697	-61.778687
64.599609	-61.701393
65.272522	-62.704628
65.945435	-62.385696
66.618347	-61.834080
67.291260	-62.456253
67.964172	-63.496407
68.637085	-63.344002
69.309998	-62.955284
69.982910	-61.905666
70.655823	-61.301617
71.328735	-62.061050
72.001648	-62.468124
72.674561	-62.813190
73.347473	-61.864727
74.020386	-62.052677
74.693298	-61.770988
75.366211	-61.366566
76.039124	-61.853947
76.712036	-62.525509
77.384949	-62.284618
78.057861	-61.619122
